店名,網址,星級,評論,回復,地址
台北君悅酒店 Bel Air 寶艾西餐廳,https://www.google.com.tw/maps/place/%E5%8F%B0%E5%8C%97%E5%90%9B%E6%82%85%E9%85%92%E5%BA%97+Bel+Air+%E5%AF%B6%E8%89%BE%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442abb7a75a2db9:0x8b1fb9c73f768b14!8m2!3d25.0355799!4d121.5620793!16s%2Fg%2F11bbsy6kqq?authuser=0&hl=zh-TW&rclk=1,4.3,618,,
請請義大利餐廳 逸仙店,https://www.google.com.tw/maps/place/%E8%AB%8B%E8%AB%8B%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E5%BB%B3+%E9%80%B8%E4%BB%99%E5%BA%97/data=!4m6!3m5!1s0x3442abb9028cd75b:0xef994e5f95504dbb!8m2!3d25.0405306!4d121.5627849!16s%2Fg%2F11f3wrjqc0?authuser=0&hl=zh-TW&rclk=1,4.4,1729,,
海灘叢林 A Beach,https://www.google.com.tw/maps/place/%E6%B5%B7%E7%81%98%E5%8F%A2%E6%9E%97+A+Beach/data=!4m6!3m5!1s0x3442abb719618079:0xd71e1a8b29dd7d00!8m2!3d25.032582!4d121.5636446!16s%2Fg%2F11p9lhkry8?authuser=0&hl=zh-TW&rclk=1,4.6,582,,
Selfish Burger 喀漢堡,https://www.google.com.tw/maps/place/Selfish+Burger+%E5%96%80%E6%BC%A2%E5%A0%A1/data=!4m6!3m5!1s0x3442abb595396f5d:0xa2fed668f5965c3d!8m2!3d25.0310263!4d121.5611238!16s%2Fg%2F11c0r3j594?authuser=0&hl=zh-TW&rclk=1,4.2,2000,,
Lady nara 曼谷新泰式料理 台北統一時代店,https://www.google.com.tw/maps/place/Lady+nara+%E6%9B%BC%E8%B0%B7%E6%96%B0%E6%B3%B0%E5%BC%8F%E6%96%99%E7%90%86+%E5%8F%B0%E5%8C%97%E7%B5%B1%E4%B8%80%E6%99%82%E4%BB%A3%E5%BA%97/data=!4m6!3m5!1s0x3442ab2475748553:0x798baab8ad66220b!8m2!3d25.040506!4d121.5651212!16s%2Fg%2F11fkwcxjb1?authuser=0&hl=zh-TW&rclk=1,4.3,1371,,
TGI FRIDAYS 星期五美式餐廳 信義餐廳,https://www.google.com.tw/maps/place/TGI+FRIDAYS+%E6%98%9F%E6%9C%9F%E4%BA%94%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3+%E4%BF%A1%E7%BE%A9%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442abb95faee141:0x95c6e6de82336969!8m2!3d25.0407344!4d121.5653917!16s%2Fg%2F12hp5rlr7?authuser=0&hl=zh-TW&rclk=1,4.1,2342,,
馬可波羅義大利餐廳 - 台北遠東香格里拉,https://www.google.com.tw/maps/place/%E9%A6%AC%E5%8F%AF%E6%B3%A2%E7%BE%85%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E5%BB%B3+-+%E5%8F%B0%E5%8C%97%E9%81%A0%E6%9D%B1%E9%A6%99%E6%A0%BC%E9%87%8C%E6%8B%89/data=!4m6!3m5!1s0x3442aa32657c4a79:0xb341d91553bf46ab!8m2!3d25.026612!4d121.549282!16s%2Fg%2F1tdgs2p8?authuser=0&hl=zh-TW&rclk=1,4.4,1017,,
亨利客 原味炭烤牛排,https://www.google.com.tw/maps/place/%E4%BA%A8%E5%88%A9%E5%AE%A2+%E5%8E%9F%E5%91%B3%E7%82%AD%E7%83%A4%E7%89%9B%E6%8E%92/data=!4m6!3m5!1s0x3442aa3156874ee9:0x304f178cdd17f9ef!8m2!3d25.023422!4d121.5538073!16s%2Fg%2F11c37mztmm?authuser=0&hl=zh-TW&rclk=1,4.4,1139,,
欣葉台菜 信義新天地A9店,https://www.google.com.tw/maps/place/%E6%AC%A3%E8%91%89%E5%8F%B0%E8%8F%9C+%E4%BF%A1%E7%BE%A9%E6%96%B0%E5%A4%A9%E5%9C%B0A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb0a47226ad:0xa3c29da266aed574!8m2!3d25.0366706!4d121.5667018!16s%2Fg%2F1twyx6v2?authuser=0&hl=zh-TW&rclk=1,4.2,1519,,
漢來名人坊 世貿店,https://www.google.com.tw/maps/place/%E6%BC%A2%E4%BE%86%E5%90%8D%E4%BA%BA%E5%9D%8A+%E4%B8%96%E8%B2%BF%E5%BA%97/data=!4m6!3m5!1s0x3442abe7d84659fb:0x2649930ca6987148!8m2!3d25.0344064!4d121.5612277!16s%2Fg%2F11jwk3stgw?authuser=0&hl=zh-TW&rclk=1,4.5,1618,,
金色三麥 信義誠品店 B1,https://www.google.com.tw/maps/place/%E9%87%91%E8%89%B2%E4%B8%89%E9%BA%A5+%E4%BF%A1%E7%BE%A9%E8%AA%A0%E5%93%81%E5%BA%97+B1/data=!4m6!3m5!1s0x3442abbbd49807b9:0x230ccd435b985a9c!8m2!3d25.0397223!4d121.56499!16s%2Fg%2F1tj5hvrw?authuser=0&hl=zh-TW&rclk=1,4.2,3182,,
夜上海 Ye Shanghai Taipei,https://www.google.com.tw/maps/place/%E5%A4%9C%E4%B8%8A%E6%B5%B7+Ye+Shanghai+Taipei/data=!4m6!3m5!1s0x3442abbbb609d58f:0x1865328c872fd50d!8m2!3d25.0396539!4d121.5667018!16s%2Fg%2F11b7y6p6fd?authuser=0&hl=zh-TW&rclk=1,4.1,969,,
